zone,latitude,longitude,hour,weather,day_type,road_type,severity,risk_score,vehicles_involved,year,month
Thane - Pokhran Road,19.217265,72.96913,13,Rain,Weekend,Highway,Minor,0.462,3,2023,2
Thane - Pokhran Road,19.220109,72.964951,16,Rain,Weekday,Junction,Minor,0.364,2,2023,6
Thane - Pokhran Road,19.212411,72.964384,20,Clear,Weekday,Urban Road,Minor,0.403,2,2023,12
Thane - Pokhran Road,19.213538,72.973439,22,Clear,Weekday,Urban Road,Serious,0.522,3,2021,10
Thane - Pokhran Road,19.207656,72.95049,1,Clear,Weekday,Highway,Minor,0.606,3,2022,1
Thane - Pokhran Road,19.204993,72.958031,21,Clear,Weekend,Junction,Minor,0.483,1,2024,12
Thane - Pokhran Road,19.206568,72.967011,22,Clear,Weekday,Junction,Serious,0.536,4,2024,5
Thane - Pokhran Road,19.215691,72.979821,10,Rain,Weekday,Urban Road,Serious,0.486,3,2021,11
Thane - Pokhran Road,19.211783,72.97613,19,Rain,Weekday,Highway,Minor,0.579,1,2022,2
Thane - Pokhran Road,19.211246,72.961519,13,Rain,Weekday,Highway,Fatal,0.453,4,2023,10
Thane - Pokhran Road,19.216628,72.972085,20,Fog,Weekday,Highway,Fatal,0.461,3,2024,11
Thane - Pokhran Road,19.214359,72.962887,9,Clear,Weekend,Highway,Minor,0.529,2,2022,11
Thane - Pokhran Road,19.198939,72.973133,18,Clear,Weekend,Flyover,Serious,0.464,3,2022,3
Thane - Pokhran Road,19.214108,72.958815,7,Clear,Weekday,Highway,Serious,0.491,1,2022,3
Thane - Pokhran Road,19.202821,72.982136,7,Clear,Weekday,Highway,Serious,0.535,1,2023,11
Thane - Pokhran Road,19.216047,72.98274,14,Overcast,Weekend,Highway,Minor,0.364,3,2024,8
Thane - Pokhran Road,19.216557,72.954667,18,Fog,Weekday,Junction,Serious,0.691,3,2023,5
Thane - Pokhran Road,19.208871,72.988398,8,Clear,Weekend,Urban Road,Minor,0.43,2,2024,9
Thane - Pokhran Road,19.227454,72.969141,7,Overcast,Weekend,Urban Road,Minor,0.46,4,2021,3
Thane - Pokhran Road,19.194071,72.98061,5,Clear,Weekday,Urban Road,Fatal,0.394,1,2022,10
Thane - Pokhran Road,19.206144,72.977091,21,Clear,Weekday,Highway,Minor,0.378,1,2024,5
Thane - Pokhran Road,19.200515,72.982962,18,Rain,Weekday,Highway,Serious,0.561,3,2022,4
Thane - Pokhran Road,19.20647,72.975151,13,Clear,Weekday,Highway,Minor,0.365,1,2023,4
Thane - Pokhran Road,19.219107,72.972105,9,Fog,Weekday,Highway,Serious,0.579,1,2023,5
Thane - Pokhran Road,19.203994,72.971873,9,Clear,Weekday,Highway,Serious,0.578,2,2024,7
Thane - Pokhran Road,19.201674,72.978096,8,Clear,Weekday,Junction,Minor,0.502,1,2021,7
Thane - Pokhran Road,19.206531,72.965008,16,Fog,Weekend,Highway,Minor,0.559,3,2022,4
Thane - Pokhran Road,19.202934,72.964956,23,Rain,Weekday,Urban Road,Serious,0.536,3,2022,9
Thane - Pokhran Road,19.202004,72.974241,9,Rain,Weekday,Urban Road,Fatal,0.538,1,2022,1
Thane - Pokhran Road,19.217364,72.978129,14,Clear,Weekday,Junction,Serious,0.466,3,2022,7
Thane - Pokhran Road,19.214535,72.962689,19,Clear,Weekday,Highway,Minor,0.508,1,2023,1
Thane - Pokhran Road,19.206303,72.977164,17,Rain,Weekday,Junction,Minor,0.537,2,2021,3
Thane - Pokhran Road,19.210454,72.964409,18,Clear,Weekend,Urban Road,Serious,0.494,1,2023,6
Thane - Pokhran Road,19.211552,72.973549,14,Overcast,Weekday,Urban Road,Serious,0.34,4,2024,11
Thane - Pokhran Road,19.209452,72.982423,20,Fog,Weekday,Urban Road,Minor,0.501,4,2023,8
Thane - Pokhran Road,19.20602,72.971163,21,Fog,Weekend,Urban Road,Minor,0.412,1,2023,12
Thane - Pokhran Road,19.203771,72.979056,16,Clear,Weekend,Urban Road,Minor,0.32,4,2021,3
Thane - Pokhran Road,19.216241,72.973711,17,Clear,Weekday,Urban Road,Fatal,0.487,4,2022,8
Thane - Pokhran Road,19.212639,72.971261,23,Clear,Weekend,Junction,Minor,0.534,2,2022,10
Thane - Pokhran Road,19.19611,72.964972,6,Clear,Weekend,Urban Road,Minor,0.277,1,2023,2
Thane - Pokhran Road,19.205027,72.969427,9,Rain,Weekend,Urban Road,Minor,0.479,4,2023,4
Thane - Pokhran Road,19.226492,72.978452,6,Rain,Weekday,Urban Road,Minor,0.309,3,2024,11
Thane - Pokhran Road,19.207681,72.973814,16,Fog,Weekend,Highway,Minor,0.58,2,2024,2
Thane - Pokhran Road,19.209936,72.977379,11,Clear,Weekday,Urban Road,Fatal,0.367,2,2022,6
Thane - Pokhran Road,19.211932,72.973117,22,Clear,Weekday,Urban Road,Minor,0.427,4,2023,4
Thane - Pokhran Road,19.214918,72.967576,12,Rain,Weekday,Urban Road,Serious,0.327,1,2021,7
Thane - Pokhran Road,19.201615,72.95658,4,Overcast,Weekday,Urban Road,Minor,0.365,2,2022,1
Thane - Pokhran Road,19.211054,72.982936,17,Clear,Weekend,Junction,Serious,0.462,4,2023,8
Thane - Pokhran Road,19.203112,72.960552,5,Clear,Weekend,Urban Road,Minor,0.366,2,2021,9
Thane - Pokhran Road,19.219576,72.962371,3,Rain,Weekday,Junction,Serious,0.472,3,2024,2
Thane - Pokhran Road,19.203877,72.971633,19,Clear,Weekday,Highway,Minor,0.518,2,2024,4
Thane - Pokhran Road,19.210082,72.978071,8,Clear,Weekend,Highway,Minor,0.586,3,2023,4
Thane - Pokhran Road,19.198591,72.96102,9,Clear,Weekday,Urban Road,Minor,0.479,4,2024,9
Thane - Pokhran Road,19.203156,72.965692,19,Clear,Weekend,Junction,Serious,0.461,1,2021,6
Thane - Pokhran Road,19.210799,72.972917,15,Clear,Weekday,Junction,Serious,0.357,3,2022,9
Thane - Pokhran Road,19.190124,72.984359,1,Clear,Weekday,Urban Road,Serious,0.461,1,2022,5
Thane - Pokhran Road,19.203723,72.961532,18,Clear,Weekday,Highway,Minor,0.489,4,2023,4
Thane - Pokhran Road,19.199594,72.97519,7,Clear,Weekday,Highway,Minor,0.469,3,2021,9
Thane - Pokhran Road,19.209404,72.961223,12,Clear,Weekday,Urban Road,Serious,0.41,3,2021,6
Thane - Pokhran Road,19.215195,72.971681,15,Clear,Weekend,Urban Road,Minor,0.327,1,2021,10
Thane - Pokhran Road,19.230366,72.962704,20,Clear,Weekday,Urban Road,Minor,0.352,1,2023,10
Thane - Pokhran Road,19.212107,72.954913,9,Clear,Weekend,Urban Road,Serious,0.47,1,2023,3
Thane - Manpada Junction,19.193794,72.976526,20,Fog,Weekday,Highway,Minor,0.575,1,2024,4
Thane - Manpada Junction,19.195251,72.974636,19,Clear,Weekend,Urban Road,Minor,0.506,3,2022,4
Thane - Manpada Junction,19.201212,72.959899,13,Rain,Weekday,Urban Road,Minor,0.558,1,2021,12
Thane - Manpada Junction,19.178325,72.951676,16,Clear,Weekday,Highway,Serious,0.556,4,2022,4
Thane - Manpada Junction,19.197207,72.968057,7,Rain,Weekday,Urban Road,Minor,0.619,1,2022,1
Thane - Manpada Junction,19.19805,72.963011,9,Rain,Weekday,Junction,Serious,0.763,3,2022,8
Thane - Manpada Junction,19.203541,72.975884,15,Clear,Weekday,Junction,Serious,0.419,4,2021,10
Thane - Manpada Junction,19.187212,72.969786,17,Clear,Weekend,Urban Road,Serious,0.59,2,2021,1
Thane - Manpada Junction,19.200912,72.973227,14,Fog,Weekday,Highway,Serious,0.581,4,2023,7
Thane - Manpada Junction,19.183482,72.969763,8,Clear,Weekday,Urban Road,Minor,0.561,2,2021,8
Thane - Manpada Junction,19.197872,72.965939,8,Clear,Weekend,Urban Road,Serious,0.531,1,2022,6
Thane - Manpada Junction,19.194047,72.968686,6,Overcast,Weekday,Urban Road,Serious,0.393,3,2022,11
Thane - Manpada Junction,19.197917,72.972873,1,Clear,Weekday,Highway,Minor,0.617,4,2024,7
Thane - Manpada Junction,19.210038,72.98315,19,Rain,Weekday,Urban Road,Serious,0.686,3,2021,4
Thane - Manpada Junction,19.191901,72.98676,15,Fog,Weekday,Urban Road,Serious,0.499,1,2024,2
Thane - Manpada Junction,19.191954,72.960529,17,Fog,Weekend,Urban Road,Minor,0.742,3,2023,5
Thane - Manpada Junction,19.208867,72.97184,16,Clear,Weekday,Flyover,Minor,0.518,3,2024,1
Thane - Manpada Junction,19.206647,72.975772,8,Rain,Weekday,Urban Road,Serious,0.63,2,2024,6
Thane - Manpada Junction,19.199091,72.967364,14,Clear,Weekday,Highway,Serious,0.509,2,2023,8
Thane - Manpada Junction,19.201908,72.975481,6,Rain,Weekday,Highway,Minor,0.554,3,2023,11
Thane - Manpada Junction,19.198025,72.975563,20,Clear,Weekend,Highway,Serious,0.43,3,2021,8
Thane - Manpada Junction,19.187953,72.966401,21,Rain,Weekday,Highway,Minor,0.626,2,2023,2
Thane - Manpada Junction,19.182382,72.965297,5,Clear,Weekday,Urban Road,Minor,0.457,4,2023,8
Thane - Manpada Junction,19.208005,72.968391,8,Clear,Weekend,Urban Road,Minor,0.587,2,2024,8
Thane - Manpada Junction,19.203323,72.964604,16,Clear,Weekday,Highway,Minor,0.423,2,2021,8
Thane - Manpada Junction,19.200713,72.981135,11,Clear,Weekday,Urban Road,Fatal,0.37,4,2024,10
Thane - Manpada Junction,19.192604,72.977287,8,Clear,Weekend,Urban Road,Minor,0.562,3,2024,2
Thane - Manpada Junction,19.196594,72.977781,7,Rain,Weekday,Urban Road,Fatal,0.69,2,2024,12
Thane - Manpada Junction,19.191289,72.962302,15,Clear,Weekday,Highway,Serious,0.486,4,2023,6
Thane - Manpada Junction,19.188032,72.964742,19,Clear,Weekend,Flyover,Serious,0.546,3,2024,1
Thane - Manpada Junction,19.197083,72.955652,18,Rain,Weekday,Flyover,Minor,0.684,4,2023,6
Thane - Manpada Junction,19.188989,72.957944,18,Rain,Weekday,Highway,Minor,0.626,4,2022,8
Thane - Manpada Junction,19.195443,72.97612,21,Clear,Weekday,Highway,Minor,0.496,1,2024,9
Thane - Manpada Junction,19.200858,72.967269,17,Rain,Weekend,Urban Road,Serious,0.595,3,2021,5
Thane - Manpada Junction,19.192537,72.971516,4,Rain,Weekday,Urban Road,Minor,0.577,4,2024,1
Thane - Manpada Junction,19.187012,72.981255,20,Overcast,Weekend,Junction,Serious,0.492,1,2021,8
Thane - Manpada Junction,19.191717,72.971868,9,Clear,Weekday,Junction,Minor,0.614,1,2021,10
Thane - Manpada Junction,19.197103,72.963378,17,Rain,Weekend,Urban Road,Minor,0.681,1,2021,3
Thane - Manpada Junction,19.191129,72.961665,9,Clear,Weekday,Urban Road,Serious,0.484,2,2023,5
Thane - Manpada Junction,19.207781,72.964168,20,Rain,Weekday,Highway,Fatal,0.588,3,2024,1
Thane - Manpada Junction,19.184893,72.967262,6,Overcast,Weekday,Flyover,Fatal,0.453,3,2021,8
Thane - Manpada Junction,19.182956,72.978648,16,Clear,Weekend,Urban Road,Minor,0.415,4,2024,10
Thane - Manpada Junction,19.204855,72.968088,7,Clear,Weekday,Junction,Serious,0.663,4,2022,2
Thane - Manpada Junction,19.188424,72.97018,20,Clear,Weekend,Highway,Minor,0.477,1,2021,4
Thane - Manpada Junction,19.180702,72.968451,19,Clear,Weekend,Urban Road,Minor,0.548,4,2023,9
Thane - Manpada Junction,19.206012,72.984275,7,Clear,Weekday,Junction,Minor,0.667,3,2024,2
Thane - Manpada Junction,19.190148,72.967013,15,Overcast,Weekday,Highway,Serious,0.544,2,2021,5
Thane - Manpada Junction,19.19662,72.971062,5,Rain,Weekend,Highway,Serious,0.496,3,2024,6
Thane - Manpada Junction,19.196187,72.965259,12,Rain,Weekday,Junction,Minor,0.502,2,2024,5
Thane - Manpada Junction,19.206606,72.958703,16,Clear,Weekday,Urban Road,Serious,0.419,3,2021,1
Thane - Manpada Junction,19.185682,72.971136,15,Clear,Weekend,Urban Road,Fatal,0.354,4,2021,6
Thane - Manpada Junction,19.197806,72.983693,18,Rain,Weekday,Highway,Minor,0.637,3,2021,10
Thane - Manpada Junction,19.19326,72.970364,12,Clear,Weekday,Flyover,Serious,0.372,4,2024,7
Thane - Manpada Junction,19.187267,72.963905,14,Rain,Weekday,Urban Road,Serious,0.521,3,2023,2
Thane - Manpada Junction,19.194676,72.963565,6,Clear,Weekday,Urban Road,Serious,0.331,4,2024,11
Thane - Manpada Junction,19.19825,72.961985,2,Overcast,Weekday,Highway,Minor,0.617,2,2024,7
Thane - Manpada Junction,19.197619,72.982055,21,Overcast,Weekday,Urban Road,Minor,0.388,1,2021,7
Thane - Manpada Junction,19.205317,72.974858,18,Fog,Weekday,Junction,Minor,0.712,4,2022,2
Thane - Manpada Junction,19.197225,72.976926,8,Clear,Weekday,Junction,Minor,0.613,2,2023,11
Thane - Manpada Junction,19.200668,72.967964,22,Overcast,Weekday,Urban Road,Minor,0.636,4,2023,11
Thane - Manpada Junction,19.181844,72.964003,13,Rain,Weekend,Highway,Minor,0.573,1,2023,10
Thane - Manpada Junction,19.193292,72.980969,16,Clear,Weekday,Urban Road,Minor,0.408,2,2022,9
Thane - Manpada Junction,19.191366,72.9672,17,Clear,Weekend,Highway,Minor,0.58,3,2023,5
Thane - Manpada Junction,19.201917,72.953725,19,Overcast,Weekday,Highway,Serious,0.617,1,2023,10
Thane - Manpada Junction,19.203666,72.953268,21,Rain,Weekday,Highway,Serious,0.61,2,2022,10
Thane - Manpada Junction,19.196559,72.978682,9,Rain,Weekday,Junction,Minor,0.652,1,2023,1
Thane - Manpada Junction,19.202736,72.966046,8,Fog,Weekend,Highway,Minor,0.691,2,2023,10
Thane - Manpada Junction,19.210743,72.963791,17,Fog,Weekend,Urban Road,Minor,0.669,1,2023,7
Thane - Manpada Junction,19.192881,72.970264,7,Clear,Weekday,Urban Road,Minor,0.512,4,2022,3
Thane - Manpada Junction,19.20088,72.965247,17,Clear,Weekday,Highway,Serious,0.588,2,2024,9
Thane - Manpada Junction,19.189318,72.969562,7,Clear,Weekday,Highway,Serious,0.533,4,2021,12
Thane - Manpada Junction,19.204923,72.977422,6,Overcast,Weekday,Flyover,Fatal,0.494,3,2023,5
Thane - Manpada Junction,19.213808,72.969087,18,Clear,Weekday,Urban Road,Serious,0.555,3,2021,11
Thane - Manpada Junction,19.182699,72.957758,9,Clear,Weekday,Urban Road,Minor,0.534,3,2024,5
Thane - Manpada Junction,19.192375,72.976158,18,Clear,Weekend,Highway,Minor,0.602,2,2023,1
Thane - Manpada Junction,19.195556,72.978284,21,Rain,Weekday,Highway,Minor,0.578,2,2022,5
Thane - Manpada Junction,19.183245,72.982549,17,Clear,Weekday,Urban Road,Minor,0.481,1,2024,10
Thane - Manpada Junction,19.178349,72.964633,1,Clear,Weekday,Highway,Serious,0.696,3,2021,2
Thane - Manpada Junction,19.182651,72.97747,4,Fog,Weekday,Urban Road,Minor,0.48,4,2022,12
Thane - Manpada Junction,19.192022,72.979433,7,Fog,Weekend,Urban Road,Serious,0.688,3,2024,11
Thane - Manpada Junction,19.196691,72.967287,6,Overcast,Weekday,Highway,Minor,0.596,1,2021,7
Thane - Manpada Junction,19.201172,72.967275,15,Clear,Weekday,Highway,Serious,0.496,4,2024,11
Thane - Manpada Junction,19.206658,72.970813,9,Fog,Weekday,Highway,Serious,0.66,3,2022,2
Thane - Manpada Junction,19.198198,72.977552,16,Clear,Weekday,Highway,Minor,0.482,3,2024,3
Thane - Manpada Junction,19.186773,72.978099,19,Clear,Weekday,Urban Road,Serious,0.549,3,2021,3
Thane - Manpada Junction,19.20664,72.974436,18,Rain,Weekday,Urban Road,Minor,0.588,1,2022,12
Thane - Manpada Junction,19.216437,72.963862,12,Rain,Weekend,Highway,Minor,0.599,4,2021,4
Thane - Manpada Junction,19.194686,72.969325,17,Fog,Weekend,Urban Road,Minor,0.64,3,2024,6
Thane - Manpada Junction,19.208719,72.973593,8,Clear,Weekday,Junction,Serious,0.662,4,2023,11
Thane - Manpada Junction,19.201576,72.971562,21,Overcast,Weekday,Junction,Minor,0.526,1,2021,6
Thane - Manpada Junction,19.188172,72.957391,9,Overcast,Weekday,Junction,Serious,0.653,1,2023,7
Thane - Manpada Junction,19.190223,72.971465,10,Rain,Weekday,Junction,Minor,0.564,2,2022,11
Thane - Manpada Junction,19.19738,72.973087,17,Clear,Weekday,Highway,Serious,0.602,2,2021,9
Thane - Manpada Junction,19.191972,72.967381,8,Clear,Weekday,Highway,Serious,0.562,4,2023,6
Thane - Manpada Junction,19.204847,72.964488,5,Rain,Weekday,Junction,Serious,0.568,2,2024,11
Thane - Manpada Junction,19.19734,72.979992,17,Rain,Weekday,Highway,Serious,0.717,3,2024,10
Thane - Manpada Junction,19.194153,72.974479,13,Clear,Weekday,Highway,Serious,0.407,2,2021,7
Thane - Manpada Junction,19.199477,72.949061,17,Clear,Weekend,Highway,Minor,0.667,2,2021,9
Mumbai - Eastern Express Hwy,19.070601,72.874475,13,Fog,Weekend,Highway,Fatal,0.471,3,2022,4
Mumbai - Eastern Express Hwy,19.077812,72.874294,2,Clear,Weekday,Highway,Minor,0.578,3,2024,11
Mumbai - Eastern Express Hwy,19.085929,72.882289,15,Clear,Weekend,Urban Road,Serious,0.384,1,2021,7
Mumbai - Eastern Express Hwy,19.075852,72.881173,8,Fog,Weekday,Urban Road,Minor,0.56,1,2022,5
Mumbai - Eastern Express Hwy,19.072898,72.874391,14,Clear,Weekday,Highway,Minor,0.441,4,2021,3
Mumbai - Eastern Express Hwy,19.077513,72.871879,4,Clear,Weekday,Urban Road,Minor,0.35,1,2024,7
Mumbai - Eastern Express Hwy,19.054807,72.888512,14,Overcast,Weekday,Highway,Minor,0.44,2,2023,8
Mumbai - Eastern Express Hwy,19.076957,72.880253,9,Clear,Weekday,Highway,Minor,0.458,2,2022,11
Mumbai - Eastern Express Hwy,19.073583,72.856875,15,Clear,Weekday,Urban Road,Serious,0.367,4,2024,4
Mumbai - Eastern Express Hwy,19.076456,72.877497,15,Clear,Weekend,Highway,Fatal,0.446,1,2021,4
Mumbai - Eastern Express Hwy,19.06882,72.867203,8,Rain,Weekday,Urban Road,Minor,0.489,3,2023,3
Mumbai - Eastern Express Hwy,19.081959,72.876338,10,Rain,Weekend,Urban Road,Minor,0.488,3,2022,12
Mumbai - Eastern Express Hwy,19.069636,72.881095,18,Clear,Weekday,Junction,Serious,0.562,3,2024,6
Mumbai - Eastern Express Hwy,19.073731,72.888645,12,Clear,Weekend,Highway,Serious,0.37,3,2023,7
Mumbai - Eastern Express Hwy,19.071068,72.869671,15,Overcast,Weekday,Highway,Serious,0.382,4,2022,8
Mumbai - Eastern Express Hwy,19.067381,72.888712,18,Clear,Weekday,Junction,Serious,0.604,2,2024,1
Mumbai - Eastern Express Hwy,19.061279,72.877442,7,Clear,Weekday,Urban Road,Minor,0.496,2,2022,11
Mumbai - Eastern Express Hwy,19.092965,72.882335,15,Overcast,Weekday,Urban Road,Minor,0.423,2,2021,4
Mumbai - Eastern Express Hwy,19.085415,72.881576,9,Clear,Weekday,Urban Road,Minor,0.354,1,2024,6
Mumbai - Eastern Express Hwy,19.06747,72.894698,21,Rain,Weekday,Highway,Minor,0.439,2,2022,9
Mumbai - Eastern Express Hwy,19.070248,72.865195,6,Clear,Weekday,Urban Road,Minor,0.427,1,2023,4
Mumbai - Eastern Express Hwy,19.064164,72.887774,17,Rain,Weekend,Junction,Minor,0.735,1,2024,10
Mumbai - Eastern Express Hwy,19.061494,72.869231,18,Clear,Weekday,Urban Road,Minor,0.537,4,2024,9
Mumbai - Eastern Express Hwy,19.0775,72.885735,18,Clear,Weekday,Highway,Fatal,0.568,3,2023,9
Mumbai - Eastern Express Hwy,19.09141,72.869317,7,Clear,Weekday,Highway,Fatal,0.505,3,2022,3
Mumbai - Eastern Express Hwy,19.070938,72.882472,9,Clear,Weekday,Urban Road,Minor,0.403,4,2021,4
Mumbai - Eastern Express Hwy,19.074479,72.878154,19,Clear,Weekend,Highway,Serious,0.508,1,2021,6
Mumbai - Eastern Express Hwy,19.072551,72.880964,6,Clear,Weekday,Junction,Serious,0.479,1,2022,8
Mumbai - Eastern Express Hwy,19.069978,72.871389,6,Fog,Weekday,Highway,Serious,0.548,2,2022,12
Mumbai - Eastern Express Hwy,19.082203,72.884235,19,Fog,Weekday,Flyover,Minor,0.66,1,2021,1
Mumbai - Eastern Express Hwy,19.082354,72.874293,16,Clear,Weekday,Urban Road,Serious,0.339,1,2023,6
Mumbai - Eastern Express Hwy,19.061249,72.875863,6,Clear,Weekend,Urban Road,Serious,0.433,4,2021,3
Mumbai - Eastern Express Hwy,19.082978,72.875179,17,Clear,Weekend,Urban Road,Serious,0.383,4,2024,7
Mumbai - Eastern Express Hwy,19.080174,72.885406,16,Clear,Weekday,Highway,Minor,0.401,1,2021,2
Mumbai - Eastern Express Hwy,19.075513,72.879472,18,Clear,Weekday,Highway,Minor,0.613,4,2022,9
Mumbai - Eastern Express Hwy,19.074966,72.872842,7,Clear,Weekday,Highway,Minor,0.506,1,2022,9
Mumbai - Eastern Express Hwy,19.079975,72.886258,16,Clear,Weekday,Junction,Minor,0.319,1,2023,1
Mumbai - Eastern Express Hwy,19.072255,72.88661,9,Clear,Weekend,Urban Road,Serious,0.523,1,2021,10
Mumbai - Eastern Express Hwy,19.077195,72.875393,8,Clear,Weekend,Junction,Serious,0.463,1,2023,1
Mumbai - Eastern Express Hwy,19.082203,72.879964,17,Clear,Weekday,Highway,Serious,0.491,2,2024,2
Mumbai - Eastern Express Hwy,19.070462,72.861949,5,Clear,Weekday,Urban Road,Serious,0.368,3,2021,10
Mumbai - Eastern Express Hwy,19.06113,72.884977,20,Rain,Weekday,Highway,Minor,0.512,4,2022,1
Mumbai - Eastern Express Hwy,19.064631,72.873563,20,Clear,Weekday,Highway,Minor,0.384,3,2022,4
Mumbai - Eastern Express Hwy,19.079772,72.863051,19,Clear,Weekday,Highway,Minor,0.451,2,2023,4
Mumbai - Eastern Express Hwy,19.085006,72.868107,19,Rain,Weekday,Junction,Minor,0.559,3,2022,8
Mumbai - Eastern Express Hwy,19.072257,72.871262,7,Rain,Weekday,Highway,Fatal,0.624,3,2021,11
Mumbai - Eastern Express Hwy,19.073267,72.877714,18,Clear,Weekday,Urban Road,Minor,0.484,3,2023,7
Mumbai - Eastern Express Hwy,19.077276,72.870558,8,Clear,Weekday,Urban Road,Minor,0.419,1,2021,5
Mumbai - Eastern Express Hwy,19.086513,72.874167,19,Rain,Weekday,Urban Road,Minor,0.566,2,2021,1
Mumbai - Eastern Express Hwy,19.074927,72.880928,3,Clear,Weekend,Flyover,Minor,0.408,1,2024,7
Mumbai - Eastern Express Hwy,19.069729,72.894508,16,Clear,Weekday,Junction,Serious,0.413,1,2023,7
Mumbai - Eastern Express Hwy,19.064616,72.869939,20,Rain,Weekend,Highway,Minor,0.532,2,2022,4
Mumbai - Eastern Express Hwy,19.081772,72.878559,15,Clear,Weekday,Flyover,Serious,0.36,4,2021,11
Mumbai - Eastern Express Hwy,19.080108,72.874637,17,Clear,Weekday,Urban Road,Minor,0.351,4,2023,10
Mumbai - Eastern Express Hwy,19.071711,72.875588,10,Clear,Weekday,Highway,Minor,0.354,1,2021,2
Mumbai - Eastern Express Hwy,19.088953,72.869954,11,Clear,Weekend,Highway,Minor,0.514,2,2023,8
Mumbai - Eastern Express Hwy,19.077668,72.876423,6,Fog,Weekend,Highway,Serious,0.56,1,2023,4
Mumbai - Eastern Express Hwy,19.062641,72.883651,22,Rain,Weekday,Junction,Minor,0.628,4,2022,9
Mumbai - Eastern Express Hwy,19.076847,72.884297,17,Clear,Weekday,Junction,Minor,0.518,4,2021,12
Mumbai - Eastern Express Hwy,19.081684,72.881135,19,Clear,Weekday,Junction,Minor,0.63,2,2021,1
Mumbai - Eastern Express Hwy,19.07289,72.896513,1,Clear,Weekday,Urban Road,Minor,0.519,3,2021,11
Mumbai - Eastern Express Hwy,19.068261,72.890477,6,Rain,Weekday,Highway,Minor,0.484,4,2022,1
Mumbai - Eastern Express Hwy,19.073899,72.875009,20,Clear,Weekday,Highway,Minor,0.346,4,2024,2
Mumbai - Eastern Express Hwy,19.079472,72.877599,2,Clear,Weekday,Urban Road,Minor,0.533,4,2022,4
Mumbai - Eastern Express Hwy,19.078894,72.886375,12,Clear,Weekend,Urban Road,Minor,0.396,1,2023,8
Mumbai - Eastern Express Hwy,19.079425,72.87546,13,Fog,Weekday,Junction,Minor,0.567,2,2021,7
Mumbai - Eastern Express Hwy,19.081449,72.881716,18,Clear,Weekday,Highway,Minor,0.476,2,2024,10
Mumbai - Eastern Express Hwy,19.077547,72.874763,17,Clear,Weekend,Urban Road,Fatal,0.396,3,2021,12
Mumbai - Eastern Express Hwy,19.068006,72.879458,5,Clear,Weekday,Urban Road,Serious,0.325,4,2021,10
Mumbai - Eastern Express Hwy,19.067012,72.879643,16,Clear,Weekday,Urban Road,Serious,0.518,2,2021,4
Mumbai - Eastern Express Hwy,19.082028,72.882638,9,Rain,Weekday,Urban Road,Serious,0.436,4,2022,7
Mumbai - Eastern Express Hwy,19.082491,72.878806,20,Clear,Weekday,Urban Road,Serious,0.339,2,2024,3
Mumbai - Eastern Express Hwy,19.054365,72.872661,6,Overcast,Weekday,Urban Road,Minor,0.355,4,2024,9
Mumbai - Eastern Express Hwy,19.075666,72.889287,13,Fog,Weekday,Highway,Serious,0.528,1,2024,8
Mumbai - Eastern Express Hwy,19.071833,72.865054,19,Clear,Weekday,Urban Road,Serious,0.472,2,2024,3
Mumbai - Eastern Express Hwy,19.079302,72.879188,20,Clear,Weekday,Urban Road,Serious,0.346,1,2023,8
Mumbai - Eastern Express Hwy,19.070021,72.873449,14,Fog,Weekday,Highway,Minor,0.573,4,2024,2
Mumbai - Eastern Express Hwy,19.066159,72.87924,5,Clear,Weekend,Urban Road,Minor,0.321,2,2023,12
Mumbai - Eastern Express Hwy,19.072683,72.885252,21,Rain,Weekday,Junction,Serious,0.557,3,2024,12
Mumbai - Eastern Express Hwy,19.066892,72.877035,19,Clear,Weekday,Highway,Serious,0.494,3,2024,12
Mumbai - Eastern Express Hwy,19.080505,72.867107,17,Clear,Weekday,Junction,Minor,0.621,1,2023,5
Mumbai - Eastern Express Hwy,19.070414,72.891129,13,Clear,Weekend,Highway,Minor,0.452,1,2022,9
Mumbai - Eastern Express Hwy,19.089636,72.867873,0,Clear,Weekday,Highway,Minor,0.464,4,2024,3
Mumbai - Eastern Express Hwy,19.074607,72.870409,7,Overcast,Weekend,Junction,Serious,0.608,4,2021,8
Mumbai - Eastern Express Hwy,19.064542,72.873216,21,Overcast,Weekday,Highway,Minor,0.379,2,2024,6
Mumbai - Eastern Express Hwy,19.086853,72.876097,23,Rain,Weekend,Flyover,Minor,0.565,3,2022,9
Mumbai - Eastern Express Hwy,19.069275,72.8837,10,Rain,Weekday,Urban Road,Minor,0.432,4,2024,5
Mumbai - Eastern Express Hwy,19.084449,72.886536,9,Clear,Weekday,Highway,Fatal,0.551,4,2021,11
Mumbai - Eastern Express Hwy,19.075113,72.874594,12,Clear,Weekday,Urban Road,Serious,0.33,4,2024,3
Mumbai - Eastern Express Hwy,19.089855,72.876495,14,Fog,Weekday,Urban Road,Minor,0.438,2,2024,3
Mumbai - Eastern Express Hwy,19.05841,72.888257,17,Clear,Weekend,Urban Road,Minor,0.496,3,2024,10
Mumbai - Eastern Express Hwy,19.061309,72.874238,19,Rain,Weekday,Flyover,Minor,0.547,2,2022,4
Mumbai - Eastern Express Hwy,19.079678,72.876301,9,Rain,Weekday,Highway,Minor,0.64,1,2023,10
Mumbai - Eastern Express Hwy,19.06829,72.869171,13,Clear,Weekday,Urban Road,Minor,0.427,1,2023,5
